fbus	tbus   isopen
1       2      0  
2       3      0  
4       5      0  
1       6      0  
6       7      0  
7       8      0  
1       9      0  
10      3      0  
1      11      0  
3      12      0  
13     15      0  
14     18      0  
15     16      0  
17     18      0  
15     19      0  
20     21      0  
22     23      0  
23     18      0  
24     25      0  
